userId,username,sightingType,species,quantity,latitude,longitude,visibility,freedom,sightingDateTime
6267c80326c80d1050b77c5b,Admin,single,blyborough tick,30,52.957009,-1.147388,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,brown dog tick,3,51.5023724,-0.0018343,only me,captive,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,canterbury or pigeon tick,28,51.4894519,0.2866192,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,castor bean tick,22,55.945361,-3.366667,everyone,captive,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,cat/dog ear mite,29,51.504346,-0.016146,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,coastal red tick,11,51.420611,-0.988028,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,conifer mite,24,51.3566659,-0.1168213,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,dog tick,16,51.507888,-0.221972,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,fuchsia gall mite,27,51.506333,-0.072778,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,hedgehog tick,21,53.339515,-2.569358,only me,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,long-legged bat tick,27,51.526694,-2.599806,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,maple bladder gall mite,8,51.286224,0.545783,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,marsh tick,24,50.685442,-3.448837,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,northern fowl mite,6,51.16725,-1.328024,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,osmia bee-mite,11,52.185729,-0.89127,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,poultry / chicken mite,13,51.511647,-0.461166,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,rabbit ear mite,3,55.507944,-3.694786,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,rabbit tick,6,51.871619,0.193886,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,sand martin tick,28,52.363197,-1.945572,only me,captive,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,seabird tick,7,51.687536,-0.223548,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,shrew tick,28,51.096752,1.121336,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,tortoise tick,6,54.88762,-1.557413,everyone,captive,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,varroa mite,18,53.9479261,-1.3698199,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,water mites,24,51.477207,-2.706308,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,bearded red seaweed,24,52.38641,0.664606,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,bonnemaison's hook weed,16,56.466428,-3.062962,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,carrageen,22,51.535351,-3.577637,everyone,wild,2022-05-05T08:33:00.000+00:00
6267c80326c80d1050b77c5b,Admin,single,common maƮrl,30,51.4813,-1.5561,everyone,wild,2022-05-05T08:33:00.000+00:00
